  ΗΜΕΡΑ-ΩΡΑ ΕΚΤΕΛΕΣΗΣ : 03/06/2025 08:42:49
PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;TIMESTAMP;ΕΝΕΡΓΕΙΑ (kWh)
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 01:15;287.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 01:30;288.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 01:45;287.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 02:00;288.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 02:15;288.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 02:30;286.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 02:45;287.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 03:00;287.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 03:15;287.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 03:30;287.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 03:45;287.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 04:00;287.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 04:15;287.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 04:30;287.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 04:45;5
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 07:15;135.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 07:30;293.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 07:45;288.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 08:00;284.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 08:15;286.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 08:30;286
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 08:45;286.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 09:00;286.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 09:15;286
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 09:30;285
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 09:45;285.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 10:00;286.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 10:15;285.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 10:30;284.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 10:45;284.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 11:00;284.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 11:15;285.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 11:30;284.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 11:45;284.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 12:00;286
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 12:15;284.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 12:30;284.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 12:45;285.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 13:00;285
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 13:15;283.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 13:30;283.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 13:45;284.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 14:00;284
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 14:15;283
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 14:30;284.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 14:45;282.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 15:00;283.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 15:15;282.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 15:30;283.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 15:45;282.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 16:00;281.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 16:15;282.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 16:30;281.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 16:45;281.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 17:00;281.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 17:15;280.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 17:30;280.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 17:45;281.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 18:00;280.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 18:15;279.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 18:30;279.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 18:45;280.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 19:00;280.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 19:15;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 19:30;278.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 19:45;279.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 20:00;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 20:15;279.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 20:30;278.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 20:45;278.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 21:00;279.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 21:15;278.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 21:30;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 21:45;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 22:00;278.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 22:15;278.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 22:30;279.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 22:45;279.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 23:00;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 23:15;278.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 23:30;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 23:45;279.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;08/04/2025 24:00;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;09/04/2025 00:15;279
GREEN_VALUE_BZ01_NDR_MS_C;26468;09/04/2025 00:30;280.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;09/04/2025 00:45;281.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;09/04/2025 01:00;281
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 01:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 01:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 01:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 02:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 02:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 02:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 02:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 03:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 03:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 03:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 03:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 04:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 04:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 04:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 04:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 07:15;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 07:30;0
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 07:45;.72
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 08:00;2.32
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 08:15;4.18
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 08:30;4.58
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 08:45;3.98
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 09:00;4.5
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 09:15;5.4
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 09:30;5.36
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 09:45;6.64
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 10:00;9.52
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 10:15;17.58
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 10:30;28.06
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 10:45;44.22
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 11:00;36.6
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 11:15;54.92
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 11:30;28.3
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 11:45;18.6
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 12:00;12.26
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 12:15;7.76
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 12:30;20.34
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 12:45;27.08
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 13:00;29.22
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 13:15;36.98
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 13:30;42.2
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 13:45;24.24
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 14:00;35.76
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 14:15;39.96
GREEN_VALUE_BZ01_NDR_MS_N;19356;08/04/2025 14:30;38.96
