TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
11/12/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 00:15:00;2025-12
11/12/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 00:30:00;2025-12
11/12/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 00:45:00;2025-12
11/12/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 01:00:00;2025-12
11/12/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 01:15:00;2025-12
11/12/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 01:30:00;2025-12
11/12/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 01:45:00;2025-12
11/12/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 02:00:00;2025-12
11/12/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 02:15:00;2025-12
11/12/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 02:30:00;2025-12
11/12/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 02:45:00;2025-12
11/12/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 03:00:00;2025-12
11/12/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 03:15:00;2025-12
11/12/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 03:30:00;2025-12
11/12/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 03:45:00;2025-12
11/12/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 04:00:00;2025-12
11/12/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 04:15:00;2025-12
11/12/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 04:30:00;2025-12
11/12/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 04:45:00;2025-12
11/12/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 05:00:00;2025-12
11/12/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 05:15:00;2025-12
11/12/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 05:30:00;2025-12
11/12/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 05:45:00;2025-12
11/12/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 06:00:00;2025-12
11/12/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 06:15:00;2025-12
11/12/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 06:30:00;2025-12
11/12/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 06:45:00;2025-12
11/12/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 07:00:00;2025-12
11/12/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 07:15:00;2025-12
11/12/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 07:30:00;2025-12
11/12/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.0;2025-12-11 07:45:00;2025-12
11/12/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;0.3;2025-12-11 08:00:00;2025-12
11/12/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;1.58;2025-12-11 08:15:00;2025-12
11/12/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;2.88;2025-12-11 08:30:00;2025-12
11/12/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;5.8;2025-12-11 08:45:00;2025-12
11/12/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;10.68;2025-12-11 09:00:00;2025-12
11/12/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;17.0;2025-12-11 09:15:00;2025-12
11/12/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;23.16;2025-12-11 09:30:00;2025-12
11/12/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;31.76;2025-12-11 09:45:00;2025-12
11/12/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;42.64;2025-12-11 10:00:00;2025-12
11/12/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;52.22;2025-12-11 10:15:00;2025-12
11/12/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;19177;58.74;2025-12-11 10:30:00;2025-12
11/12/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;19177;60.18;2025-12-11 10:45:00;2025-12
11/12/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;19177;63.72;2025-12-11 11:00:00;2025-12
11/12/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;19177;68.82;2025-12-11 11:15:00;2025-12
