TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
01/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.6;2025-07
01/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;2.4;2025-07
01/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;4.6;2025-07
01/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;14.2;2025-07
01/07/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;39.8;2025-07
01/07/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;54.0;2025-07
01/07/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;64.0;2025-07
01/07/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;68.4;2025-07
01/07/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;73.2;2025-07
01/07/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;79.0;2025-07
01/07/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;83.0;2025-07
01/07/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;86.0;2025-07
01/07/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;88.4;2025-07
01/07/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;90.0;2025-07
01/07/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;91.2;2025-07
01/07/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.2;2025-07
01/07/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.2;2025-07
01/07/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.6;2025-07
01/07/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.6;2025-07
01/07/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;94.0;2025-07
01/07/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;94.0;2025-07
01/07/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;95.6;2025-07
01/07/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;96.8;2025-07
01/07/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;92.2;2025-07
01/07/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;53.0;2025-07
01/07/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;37.0;2025-07
01/07/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;72.6;2025-07
01/07/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;49.0;2025-07
01/07/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;40.8;2025-07
01/07/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;58.4;2025-07
01/07/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;57.2;2025-07
01/07/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;46.4;2025-07
01/07/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;28.8;2025-07
01/07/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;56.6;2025-07
01/07/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;35.6;2025-07
01/07/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;63.6;2025-07
01/07/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;38.8;2025-07
01/07/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;78.0;2025-07
01/07/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;22.8;2025-07
01/07/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;46.6;2025-07
01/07/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;62.4;2025-07
01/07/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;99.6;2025-07
01/07/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.2;2025-07
01/07/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.2;2025-07
01/07/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;86.6;2025-07
01/07/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;84.8;2025-07
01/07/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;79.4;2025-07
01/07/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;24.6;2025-07
01/07/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;17.2;2025-07
01/07/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;60.8;2025-07
01/07/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;59.4;2025-07
01/07/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;39.2;2025-07
01/07/2025 19:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;26.2;2025-07
01/07/2025 19:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;20.6;2025-07
01/07/2025 20:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;10.6;2025-07
01/07/2025 20:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;5.2;2025-07
01/07/2025 20:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;3.0;2025-07
01/07/2025 20:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;1.4;2025-07
01/07/2025 21:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.2;2025-07
01/07/2025 21:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 21:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 21:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 22:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 22:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 22:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 22:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 23:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 23:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 23:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
01/07/2025 23:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 00:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.0;2025-07
02/07/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;0.4;2025-07
02/07/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;2.0;2025-07
02/07/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;3.8;2025-07
02/07/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;11.4;2025-07
02/07/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;32.4;2025-07
02/07/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;45.2;2025-07
02/07/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;55.4;2025-07
02/07/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;55.2;2025-07
02/07/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;69.4;2025-07
02/07/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;74.0;2025-07
02/07/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;78.4;2025-07
02/07/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;82.2;2025-07
02/07/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;85.6;2025-07
02/07/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;88.0;2025-07
02/07/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;90.2;2025-07
02/07/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;91.8;2025-07
02/07/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.4;2025-07
02/07/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;92.6;2025-07
02/07/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;90.8;2025-07
02/07/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;97.0;2025-07
02/07/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.6;2025-07
02/07/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;99.8;2025-07
02/07/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;96.6;2025-07
02/07/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;97.8;2025-07
02/07/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.8;2025-07
02/07/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;99.2;2025-07
02/07/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.8;2025-07
02/07/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;100.2;2025-07
02/07/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.8;2025-07
02/07/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;100.2;2025-07
02/07/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;100.6;2025-07
02/07/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;100.0;2025-07
02/07/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;100.0;2025-07
02/07/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;99.8;2025-07
02/07/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.6;2025-07
02/07/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.2;2025-07
02/07/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;98.0;2025-07
02/07/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;97.0;2025-07
02/07/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;96.4;2025-07
02/07/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;94.6;2025-07
02/07/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;94.0;2025-07
02/07/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;93.2;2025-07
02/07/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;92.4;2025-07
02/07/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;90.2;2025-07
02/07/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;86.6;2025-07
02/07/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;84.4;2025-07
02/07/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;81.8;2025-07
02/07/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;78.6;2025-07
02/07/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;26467;75.2;2025-07
02/07/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;26467;71.2;2025-07
02/07/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;26467;62.8;2025-07
02/07/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;26467;45.4;2025-07
