  ΗΜΕΡΑ-ΩΡΑ ΕΚΤΕΛΕΣΗΣ : 07/01/2026 08:52:36
PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;TIMESTAMP;ΕΝΕΡΓΕΙΑ (kWh)
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 01:15;142
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 01:30;143
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 01:45;143
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 02:00;142.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 02:15;143.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 02:30;143.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 02:45;143.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 03:00;143.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 03:15;143.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 03:30;144.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 03:45;144.2
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 04:00;144.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 04:15;145
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 04:30;145.4
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 04:45;147
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 05:00;147.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 05:15;144.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 05:30;135
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 05:45;136.6
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 06:00;137.8
GREEN_VALUE_BZ01_NDR_MS_C;26468;10/11/2025 06:15;137.2
