2026-02-13 19:58:35 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:35 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:35 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:35 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_AT_SOLUTIONS_IKE_-_ΤΣΟΥΛΗ_ΤΡΥΠΑ_2026-01.xlsx
2026-02-13 19:58:37 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/AT SOLUTIONS, ΙΤΣΙΑ, ENERCO/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_AT_SOLUTIONS_IKE_-_ΤΣΟΥΛΗ_ΤΡΥΠΑ_2026-01.pdf
2026-02-13 19:58:38 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΤΡΑΝΗ_ΠΑΤΛΙΑ.csv: 20548 rows
2026-02-13 19:58:38 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:38 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:38 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:38 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΤΡΑΝΗ_ΠΑΤΛΙΑ_2026-01.xlsx
