2026-02-13 20:19:50 | load_producers | DEBUG |   Code 26468 → ΥΔΡΟΕΝΕΡΓΕΙΑ ΑΙΓΙΟΥ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 17731 → ΠΑΡΙΣΗ ΑΙΚΑΤΕΡΙΝΗ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 18170 → ΓΚΟΥΖΕΛΟΣ ΗΛΙΑΣ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 18062 → ΚΟΡΚΑΣ Π. & ΣΙΑ Ε.Ε. (ΗΛΙΟΔΥΝΑΜΙΚΗ ΒΟΧΑΣ)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 19580 → ΠΑΛΗΟΥ ΕΥΑΓΓΕΛΙΑ ΤΟΥ ΑΘΑΝΑΣΙΟΥ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 23376 → ΜΑΝΤΕΣ ΙΩΑΝΝΗΣ - ΜΑΝΤΕΣ ΔΗΜΟΣ - ΠΑΠΑΡΟΥΠΑΣ ΠΑΝΑΓΙΩΤΗΣ Ο.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29788 → HYDROGARDENS Ι.Κ.Ε
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29555 → ΓΑΙΩΕΡΓΑ Κ&Π ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΜΟΝ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29772 → MEDIL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29468 → ΣΗΘΥΑ ΘΕΣΣΑΛΟΝΙΚΗΣ 1 ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29804 → ΣΗΘΥΑ ΘΕΣΣΑΛΟΝΙΚΗΣ 2 ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25826 → ΚΑΡΤΣΑ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 19176 → ΕΝ. ΚΟΙΝΟΤ. ΠΕΡ. ΕΥΘΥΝΗΣ ΑΠΟΛΛΩΝ ΗΛΕΚΤΡΟΕΝΕΡΓΕΙΑΚΗ ΚΟΖΑΝΗΣ_1
