  ΗΜΕΡΑ-ΩΡΑ ΕΚΤΕΛΕΣΗΣ : 02/01/2026 10:47:57
PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;TIMESTAMP;ΕΝΕΡΓΕΙΑ (kWh)
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 01:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 01:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 01:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 02:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 02:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 02:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 02:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 03:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 03:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 03:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 03:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 04:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 04:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 04:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 04:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 07:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 07:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 07:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 08:00;.75
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 08:15;1.95
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 08:30;3
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 08:45;3.84
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 09:00;4.56
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 09:15;39.93
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 09:30;92.64
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 09:45;108.03
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 10:00;119.61
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 10:15;129.39
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 10:30;138.42
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 10:45;147.06
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 11:00;154.5
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 11:15;159.81
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 11:30;163.95
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 11:45;167.64
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 12:00;171.84
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 12:15;173.4
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 12:30;173.16
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 12:45;172.47
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 13:00;170.01
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 13:15;168.69
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 13:30;165.33
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 13:45;161.55
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 14:00;156.06
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 14:15;150.09
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 14:30;141.72
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 14:45;133.23
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 15:00;123.84
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 15:15;114.27
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 15:30;103.02
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 15:45;89.76
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 16:00;74.85
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 16:15;57.84
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 16:30;29.91
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 16:45;3.54
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 17:00;2.34
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 17:15;1.02
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 17:30;.06
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 17:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 18:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 18:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 18:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 18:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 19:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 19:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 19:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 19:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 20:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 20:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 20:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 20:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 21:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 21:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 21:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 21:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 22:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 22:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 22:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 22:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 23:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 23:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 23:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 23:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;28/12/2025 24:00;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;29/12/2025 00:15;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;29/12/2025 00:30;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;29/12/2025 00:45;0
GREEN_VALUE_BZ01_NDR_MS_N;16543;29/12/2025 01:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 01:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 01:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 01:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 02:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 02:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 02:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 02:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 03:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 03:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 03:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 03:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 04:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 04:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 04:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 04:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 07:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 07:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 07:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 08:00;.42
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 08:15;1.26
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 08:30;17.3
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 08:45;36.12
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 09:00;44.6
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 09:15;52.02
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 09:30;58.8
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 09:45;64.72
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 10:00;70.4
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 10:15;75.16
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 10:30;79.54
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 10:45;82.92
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 11:00;86.18
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 11:15;89.1
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 11:30;91.36
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 11:45;92.28
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 12:00;93.2
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 12:15;93.72
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 12:30;92.34
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 12:45;90.98
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 13:00;90
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 13:15;88.68
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 13:30;86.38
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 13:45;84.22
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 14:00;81.2
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 14:15;77.26
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 14:30;72.84
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 14:45;68.44
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 15:00;62.8
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 15:15;57.04
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 15:30;50.34
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 15:45;43.54
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 16:00;35.9
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 16:15;26.76
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 16:30;17.36
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 16:45;8.86
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 17:00;3.06
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 17:15;.5
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 17:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 17:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 18:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 18:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 18:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 18:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 19:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 19:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 19:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 19:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 20:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 20:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 20:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 20:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 21:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 21:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 21:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 21:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 22:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 22:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 22:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 22:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 23:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 23:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 23:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 23:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;28/12/2025 24:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;29/12/2025 00:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;29/12/2025 00:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;29/12/2025 00:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17038;29/12/2025 01:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 01:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 01:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 01:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 02:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 02:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 02:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 02:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 03:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 03:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 03:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 03:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 04:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 04:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 04:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 04:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 07:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 07:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 07:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 08:00;.78
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 08:15;3.27
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 08:30;15.63
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 08:45;29.91
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 09:00;48.66
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 09:15;69.09
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 09:30;90.3
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 09:45;109.95
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 10:00;128.52
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 10:15;141.18
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 10:30;146.88
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 10:45;145.5
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 11:00;142.65
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 11:15;138.63
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 11:30;133.86
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 11:45;129.9
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 12:00;125.46
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 12:15;119.88
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 12:30;114.3
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 12:45;109.83
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 13:00;106.83
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 13:15;104.31
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 13:30;102.93
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 13:45;101.52
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 14:00;100.89
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 14:15;101.01
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 14:30;102.3
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 14:45;103.83
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 15:00;105.15
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 15:15;105.15
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 15:30;103.05
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 15:45;82.98
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 16:00;34.44
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 16:15;6.06
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 16:30;5.22
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 16:45;4.08
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 17:00;2.52
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 17:15;.87
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 17:30;.03
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 17:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 18:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 18:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 18:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 18:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 19:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 19:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 19:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 19:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 20:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 20:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 20:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 20:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 21:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 21:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 21:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 21:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 22:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 22:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 22:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 22:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 23:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 23:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 23:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 23:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;28/12/2025 24:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;29/12/2025 00:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;29/12/2025 00:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;29/12/2025 00:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17039;29/12/2025 01:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 01:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 01:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 01:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 02:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 02:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 02:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 02:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 03:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 03:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 03:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 03:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 04:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 04:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 04:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 04:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 05:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 05:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 05:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 05:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 06:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 06:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 06:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 06:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 07:00;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 07:15;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 07:30;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 07:45;0
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 08:00;.26
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 08:15;.96
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 08:30;1.58
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 08:45;2.1
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 09:00;2.56
GREEN_VALUE_BZ01_NDR_MS_N;17238;28/12/2025 09:15;13.48
